Number,GRB_Name,Trigger_time_UTC,unix_time
1,GRB_160924A,2016-09-24T06:04:09.040,1474697049.0400
2,GRB_160928A,2016-09-28T19:48:05.000,1475092085.0000
3,GRB_161009651,2016-10-09T15:38:07.190,1476027487.1900
4,GRB_161011217,2016-10-11T05:13:44.420,1476162824.4200
5,GRB_161012989,2016-10-12T23:45:11.380,1476315911.3800
6,GRB_161013948,2016-10-13T22:44:40.100,1476398680.1000
7,GRB_161120401,2016-11-20T09:38:33.520,1479634713.5200
8,GRB_161129A,2016-11-29T07:11:40.000,1480403500.0000
9,GRB_161203A,2016-12-03T18:41:07.750,1480790467.7500
10,GRB_161205A,2016-12-05T13:27:18.000,1480944438.0000
11,GRB_161207A,2016-12-07T20:42:55.000,1481143375.0000
12,GRB_161207B,2016-12-07T05:22:44.000,1481088164.0000
13,GRB_161210A,2016-12-10T12:33:54.000,1481373234.0000
14,GRB_161212A,2016-12-12T15:38:59.000,1481557139.0000
15,GRB_161213A,2016-12-13T07:05:02.000,1481612702.0000
16,GRB_161217B,2016-12-17T03:03:44.000,1481943824.0000
17,GRB_161217C,2016-12-17T03:53:15.000,1481946795.0000
18,GRB_161218A,2016-12-18T03:47:34.634,1482032854.6340
19,GRB_161218B,2016-12-18T08:32:41.341,1482049961.3410
20,GRB_161219B,2016-12-19T18:48:39.000,1482173319.0000
21,GRB_161228A,2016-12-28T09:43:24.000,1482918204.0000
22,GRB_161228B,2016-12-28T13:15:40.000,1482930940.0000
23,GRB_161228C,2016-12-28T00:46:20.000,1482885980.0000
24,GRB_161229A,2016-12-29T21:03:49.000,1483045429.0000
25,GRB_161230A,2016-12-30T12:16:07.000,1483100167.0000
26,GRB_170101A,2017-01-01T02:26:00.660,1483237560.6600
27,GRB_170101B,2017-01-01T02:47:18.270,1483238838.2700
28,GRB_170102A,2017-01-02T02:51:18.000,1483325478.0000
29,GRB_170105A,2017-01-05T06:14:07.000,1483596847.0000
30,GRB_170109A,2017-01-09T03:17:35.000,1483931855.0000
31,GRB_170112B,2017-01-12T23:16:09.000,1484262969.0000
32,GRB_170114A,2017-01-14T22:01:10.000,1484431270.0000
33,GRB_170114B,2017-01-14T19:59:12.000,1484423952.0000
34,GRB_170120A,2017-01-20T11:18:30.000,1484911110.0000
35,GRB_170121A,2017-01-21T01:36:55.200,1484962615.2000
36,GRB_170124A,2017-01-24T20:58:06.000,1485291486.0000
37,GRB_170127C,2017-01-27T01:35:49.000,1485480949.0000
38,GRB_170130A,2017-01-30T07:14:45.000,1485760485.0000
39,GRB_170131A,2017-01-31T23:14:59.000,1485904499.0000
40,GRB_170202B,2017-02-02T07:19:54.000,1486019994.0000
41,GRB_170206A,2017-02-06T10:51:57.700,1486378317.7000
42,GRB_170206C,2017-02-06T11:40:10.000,1486381210.0000
43,GRB_170207A,2017-02-07T21:45:04.000,1486503904.0000
44,GRB_170208C,2017-02-08T13:16:33.000,1486559793.0000
45,GRB_170210A,2017-02-10T02:47:37.000,1486694857.0000
46,GRB_170219A,2017-02-19T00:03:07.000,1487462587.0000
47,GRB_170220A,2017-02-20T18:48:01.000,1487616481.0000
48,GRB_170228B,2017-02-28T18:32:56.000,1488306776.0000
49,GRB_170305A,2017-03-05T06:09:06.800,1488694146.8000
50,GRB_170306B,2017-03-06T14:07:20.000,1488809240.0000
51,GRB_170309A,2017-03-09T12:26:42.000,1489062402.0000
52,GRB_170315A,2017-03-15T13:57:53.000,1489586273.0000
53,GRB_170317A,2017-03-17T09:45:56.000,1489743956.0000
54,GRB_170320A,2017-03-20T03:42:39.000,1489981359.0000
55,GRB_170325B,2017-03-25T21:50:01.000,1490478601.0000
