Number GRB_Name Trigger_time (UTC)
1 GRB 160924A 2016-09-24T06:04:09.040
2 GRB 160928A 2016-09-28T19:48:05.000
3 GRB 161009651 2016-10-09T15:38:07.190
4 GRB 161011217 2016-10-11T05:13:44.420
5 GRB 161012989 2016-10-12T23:45:11.380
6 GRB 161013948 2016-10-13T22:44:40.100
7 GRB 161120401 2016-11-20T09:38:33.520
8 GRB 161129A 2016-11-29T07:11:40.000
9 GRB 161203A 2016-12-03T18:41:07.750
10 GRB 161205A 2016-12-05T13:27:18.000
11 GRB 161207A 2016-12-07T20:42:55.000
12 GRB 161207B 2016-12-07T05:22:44.000
13 GRB 161210A 2016-12-10T12:33:54.000
14 GRB 161212A 2016-12-12T15:38:59.000
15 GRB 161213A 2016-12-13T07:05:02.000
16 GRB 161217B 2016-12-17T03:03:44.000
17 GRB 161217C 2016-12-17T03:53:15.000
18 GRB 161218A 2016-12-18T03:47:34.634
19 GRB 161218B 2016-12-18T08:32:41.341
20 GRB 161219B 2016-12-19T18:48:39.000
21 GRB 161228A 2016-12-28T09:43:24.000
22 GRB 161228B 2016-12-28T13:15:40.000
23 GRB 161228C 2016-12-28T00:46:20.000
24 GRB 161229A 2016-12-29T21:03:49.000
25 GRB 161230A 2016-12-30T12:16:07.000
26 GRB 170101A 2017-01-01T02:26:00.660
27 GRB 170101B 2017-01-01T02:47:18.270
28 GRB 170102A 2017-01-02T02:51:18.000
29 GRB 170105A 2017-01-05T06:14:07.000
30 GRB 170109A 2017-01-09T03:17:35.000
31 GRB 170112B 2017-01-12T23:16:09.000
32 GRB 170114A 2017-01-14T22:01:10.000
33 GRB 170114B 2017-01-14T19:59:12.000
34 GRB 170120A 2017-01-20T11:18:30.000
35 GRB 170121A 2017-01-21T01:36:55.200
36 GRB 170124A 2017-01-24T20:58:06.000
37 GRB 170127C 2017-01-27T01:35:49.000
38 GRB 170130A 2017-01-30T07:14:45.000
39 GRB 170131A 2017-01-31T23:14:59.000
40 GRB 170202B 2017-02-02T07:19:54.000
41 GRB 170206A 2017-02-06T10:51:57.700
42 GRB 170206C 2017-02-06T11:40:10.000
43 GRB 170207A 2017-02-07T21:45:04.000
44 GRB 170208C 2017-02-08T13:16:33.000
45 GRB 170210A 2017-02-10T02:47:37.000
46 GRB 170219A 2017-02-19T00:03:07.000
47 GRB 170220A 2017-02-20T18:48:01.000
48 GRB 170228B 2017-02-28T18:32:56.000
49 GRB 170305A 2017-03-05T06:09:06.800
50 GRB 170306B 2017-03-06T14:07:20.000
51 GRB 170309A 2017-03-09T12:26:42.000
52 GRB 170315A 2017-03-15T13:57:53.000
53 GRB 170317A 2017-03-17T09:45:56.000
54 GRB 170320A 2017-03-20T03:42:39.000
55 GRB 170325B 2017-03-25T21:50:01.000
